ensg	enst	name
ENSMUSG00000021732		Fgf10
ENSMUSG00000036585		Fgf1
ENSMUSG00000029337		Fgf5
ENSMUSG00000030827		Fgf21
ENSMUSG00000031073		Fgf15
ENSMUSG00000031137		Fgf13
ENSMUSG00000037225		Fgf2
ENSMUSG00000031230		Fgf16
ENSMUSG00000031603		Fgf20
ENSMUSG00000050917		Fgf4
ENSMUSG00000027208		Fgf7
ENSMUSG00000022523		Fgf12
ENSMUSG00000031074		Fgf3
ENSMUSG00000000489		Pdgfb
ENSMUSG00000028019		Pdgfc
ENSMUSG00000025856		Pdgfa
ENSMUSG00000032006		Pdgfd
ENSMUSG00000004791		Pgf
ENSMUSG00000023951		Vegfa
ENSMUSG00000024962		Vegfb
ENSMUSG00000031520		Vegfc
ENSMUSG00000031380		Vegfd
ENSMUSG00000038508		Gdf15
ENSMUSG00000018238		Gdf9
ENSMUSG00000025352		Gdf11
ENSMUSG00000026100		Mstn
ENSMUSG00000037660		Gdf7
ENSMUSG00000038259		Gdf5
ENSMUSG00000030117		Gdf3
ENSMUSG00000051279		Gdf6
ENSMUSG00000072625		Gdf2
ENSMUSG00000021943		Gdf10
ENSMUSG00000109523		Gdf1
ENSMUSG00000000125		Wnt3
ENSMUSG00000000126		Wnt9a
ENSMUSG00000026167		Wnt10a
ENSMUSG00000033227		Wnt6
ENSMUSG00000009900		Wnt3a
ENSMUSG00000018486		Wnt9b
ENSMUSG00000010797		Wnt2
ENSMUSG00000012282		Wnt8a
ENSMUSG00000022997		Wnt1
ENSMUSG00000022996		Wnt10b
ENSMUSG00000022382		Wnt7b
ENSMUSG00000036961		Wnt8b
ENSMUSG00000029671		Wnt16
ENSMUSG00000030093		Wnt7a
ENSMUSG00000027840		Wnt2b
ENSMUSG00000036856		Wnt4
ENSMUSG00000015957		Wnt11
ENSMUSG00000021994		Wnt5a
ENSMUSG00000030170		Wnt5b
ENSMUSG00000048583		Igf2
ENSMUSG00000020053		Igf1
ENSMUSG00000018916		Csf2
ENSMUSG00000014599		Csf1
ENSMUSG00000038067		Csf3
ENSMUSG00000027859		Ngf
ENSMUSG00000060791		Gmfg
ENSMUSG00000062014		Gmfb
ENSMUSG00000025405		Inhbc
ENSMUSG00000037035		Inhbb
ENSMUSG00000041324		Inhba
ENSMUSG00000032968		Inha
ENSMUSG00000047492		Inhbe
ENSMUSG00000024784		Gpha2
ENSMUSG00000041120		Nbl1
ENSMUSG00000040138		Ndp
ENSMUSG00000053226		Dand5
