"1770","1",\N,"1"
"1770","2",\N,"2"
"1770","5",\N,"5"
"2111","29",\N,"49"
"2111","30",\N,"50"
"1969","109",\N,"133"
"1901","120",\N,"149"
"1901","121",\N,"150"
"1901","122",\N,"151"
"1788","134",\N,"172"
"1936","134",\N,"173"
"2072","191",\N,"283"
"2072","192",\N,"285"
"2133","200",\N,"298"
"2043","246",\N,"346"
"2017","261",\N,"374"
"2017","262",\N,"375"
"1800","280",\N,"408"
"1800","281",\N,"409"
"1800","282",\N,"410"
"1800","329",\N,"530"
"1800","330",\N,"531"
"1966","370",\N,"597"
"1966","371",\N,"598"
"1966","372",\N,"599"
"1773","1155",\N,"651"
"1775","389",\N,"652"
"1855","1157",\N,"653"
"1977","1158",\N,"654"
"2107","1159",\N,"655"
"2122","475",\N,"794"
"2122","476",\N,"795"
"1941","494",\N,"835"
"2170","496",\N,"836"
"1941","496",\N,"837"
"2082","592",\N,"1032"
"2082","593",\N,"1033"
"2082","594",\N,"1034"
"2082","600",\N,"1041"
"1899","620",\N,"1069"
"1768","625",\N,"1074"
"1770","638",\N,"1089"
"1806","683",\N,"1154"
"2517","685",\N,"1156"
"2041","696",\N,"1167"
"2072","696",\N,"1168"
"2041","740",\N,"1217"
"2041","741",\N,"1218"
"2041","742",\N,"1219"
"2041","743",\N,"1220"
"2041","744",\N,"1221"
"2041","745",\N,"1222"
"2041","746",\N,"1223"
"1736","747",\N,"1225"
"2041","747",\N,"1226"
"2041","748",\N,"1227"
"1747","769",\N,"1253"
"1747","770",\N,"1254"
"2159","822",\N,"1311"
"2159","836",\N,"1325"
"2651","1138",\N,"1854"
"2651","1137","0","1853"
"1852","874","0","1387"
"1852","875",\N,"1388"
"1852","877",\N,"1389"
"1852","881",\N,"1390"
"1852","882",\N,"1391"
"1852","883",\N,"1392"
"1852","884",\N,"1393"
"1852","885",\N,"1394"
"1852","886",\N,"1395"
"2558","1087",\N,"1632"
"2558","1088",\N,"1633"
"2558","1089",\N,"1634"
