ensg	ensp	name
ENSMUSG00000034235	ENSMUSP00000022356 	Usp54
ENSMUSG00000021901	ENSMUSP00000022458 	Bap1
ENSMUSG00000035469	ENSMUSP00000022551 	Rcbtb1
ENSMUSG00000022043	ENSMUSP00000022623 	Trim35
ENSMUSG00000022075	ENSMUSP00000022665 	Rhobtb2
ENSMUSG00000022076	ENSMUSP00000022666 	Klhl1
ENSMUSG00000022106	ENSMUSP00000022702 	Rcbtb2
ENSMUSG00000022113	ENSMUSP00000022708 	Trim52
ENSMUSG00000022120	ENSMUSP00000022716 	Rnf219
ENSMUSG00000022124	ENSMUSP00000022720 	Fbxl3
ENSMUSG00000022184	ENSMUSP00000022791 	Fbxo4
ENSMUSG00000022280	ENSMUSP00000022890 	Rnf19a
ENSMUSG00000022312	ENSMUSP00000022925 	Eif3h
ENSMUSG00000022342	ENSMUSP00000022967 	Kcnv1
ENSMUSG00000022357	ENSMUSP00000022985 	Klhl38
ENSMUSG00000022358	ENSMUSP00000022986 	Fbxo32
ENSMUSG00000022400	ENSMUSP00000023036 	Rbx1
ENSMUSG00000022426	ENSMUSP00000023061 	Josd1
ENSMUSG00000022508	ENSMUSP00000023151 	Bcl6
ENSMUSG00000022517	ENSMUSP00000023159 	Mgrn1
ENSMUSG00000022559	ENSMUSP00000023219 	Fbxl6
ENSMUSG00000022637	ENSMUSP00000023313 	Cblb
ENSMUSG00000022684	ENSMUSP00000023365 	Bfar
ENSMUSG00000022761	ENSMUSP00000023444 	Lztr1
ENSMUSG00000022771	ENSMUSP00000023455 	Ppil2
ENSMUSG00000062901	ENSMUSP00000023509 	Klhl24
ENSMUSG00000022867	ENSMUSP00000023580 	Usp25
ENSMUSG00000048154	ENSMUSP00000023741 	Mll2
ENSMUSG00000023150	ENSMUSP00000023918 	Ivns1abp
ENSMUSG00000023286	ENSMUSP00000024056 	Ube2j2
ENSMUSG00000023307	ENSMUSP00000024078 	March5
ENSMUSG00000023965	ENSMUSP00000024761 	Fbxl17
ENSMUSG00000090115	ENSMUSP00000024779 	Usp49
ENSMUSG00000090083	ENSMUSP00000024817 	Rnf8
ENSMUSG00000024073	ENSMUSP00000024879 	Birc6
ENSMUSG00000024083	ENSMUSP00000024888 	Pja2
ENSMUSG00000024083	ENSMUSP00000024889 	Pja2
ENSMUSG00000024231	ENSMUSP00000025073 	Cul2
ENSMUSG00000024325	ENSMUSP00000025183 	Ring1
ENSMUSG00000058975	ENSMUSP00000025202 	Kcnc1
ENSMUSG00000050747	ENSMUSP00000025329 	Trim15
ENSMUSG00000024589	ENSMUSP00000025485 	Nedd4l
ENSMUSG00000024735	ENSMUSP00000025642 	Prpf19
ENSMUSG00000024740	ENSMUSP00000025649 	Ddb1
ENSMUSG00000024750	ENSMUSP00000025659 	Zfand5
ENSMUSG00000024767	ENSMUSP00000025679 	Otub1
ENSMUSG00000024792	ENSMUSP00000025707 	Zfpl1
ENSMUSG00000024807	ENSMUSP00000025723 	Syvn1
ENSMUSG00000024817	ENSMUSP00000025739 	Uhrf2
ENSMUSG00000036225	ENSMUSP00000025992 	Kctd1
ENSMUSG00000025034	ENSMUSP00000026008 	Trim8
ENSMUSG00000025050	ENSMUSP00000026032 	Pcgf6
ENSMUSG00000025103	ENSMUSP00000026093 	Btbd1
ENSMUSG00000025135	ENSMUSP00000026128 	Anapc11
ENSMUSG00000025170	ENSMUSP00000026171 	Rab40b
ENSMUSG00000025226	ENSMUSP00000026256 	Fbxl15
ENSMUSG00000025234	ENSMUSP00000026264 	Arih1
ENSMUSG00000025261	ENSMUSP00000026292 	Huwe1
ENSMUSG00000025340	ENSMUSP00000026390 	Rabgef1
ENSMUSG00000025427	ENSMUSP00000026494 	Rnf165
ENSMUSG00000025437	ENSMUSP00000026507 	Usp33
ENSMUSG00000025612	ENSMUSP00000026703 	Bach1
ENSMUSG00000025616	ENSMUSP00000026710 	Usp16
ENSMUSG00000025730	ENSMUSP00000026826 	Rab40c
ENSMUSG00000025860	ENSMUSP00000026978 	Xiap
ENSMUSG00000025917	ENSMUSP00000027050 	Cops5
ENSMUSG00000026171	ENSMUSP00000027357 	Rnf25
ENSMUSG00000026196	ENSMUSP00000027393 	Bard1
ENSMUSG00000026219	ENSMUSP00000027421 	Trip12
ENSMUSG00000026308	ENSMUSP00000027533 	Klhl30
ENSMUSG00000026311	ENSMUSP00000027538 	Asb1
ENSMUSG00000026429	ENSMUSP00000027687 	Ube2t
ENSMUSG00000026455	ENSMUSP00000027725 	Klhl12
ENSMUSG00000026739	ENSMUSP00000028071 	Bmi1
ENSMUSG00000026788	ENSMUSP00000028125 	Zbtb43
ENSMUSG00000026792	ENSMUSP00000028132 	Lrsam1
ENSMUSG00000035949	ENSMUSP00000028220 	Fbxw2
ENSMUSG00000026914	ENSMUSP00000028278 	Psmd14
