ensg	ensp	name
ENSG00000108523	ENSP00000458189 	RNF167
ENSG00000132388	ENSP00000458253 	UBE2G1
ENSG00000141552	ENSP00000458265 	ANAPC11
ENSG00000262895	ENSP00000458381 	TRIM73
ENSG00000262421	ENSP00000458390 	TRIM74
ENSG00000174943	ENSP00000458486 	KCTD13
ENSG00000141552	ENSP00000458515 	ANAPC11
ENSG00000263162	ENSP00000458767 	HERC2
ENSG00000262421	ENSP00000458771 	TRIM74
ENSG00000108523	ENSP00000458794 	RNF167
ENSG00000262895	ENSP00000458822 	TRIM73
ENSG00000262964	ENSP00000458922 	TRIM50
ENSG00000154914	ENSP00000458963 	USP43
ENSG00000262447	ENSP00000459080 	TNFAIP1
ENSG00000174943	ENSP00000459104 	KCTD13
ENSG00000141552	ENSP00000459200 	ANAPC11
ENSG00000108523	ENSP00000459324 	RNF167
ENSG00000154914	ENSP00000459328 	USP43
ENSG00000185722	ENSP00000459561 	ANKFY1
ENSG00000262490	ENSP00000459623 	CTD-2145A24.2
ENSG00000132388	ENSP00000459691 	UBE2G1
ENSG00000262448	ENSP00000459713 	MARCH8
ENSG00000185722	ENSP00000459775 	ANKFY1
ENSG00000262964	ENSP00000459822 	TRIM50
ENSG00000262448	ENSP00000459823 	MARCH8
ENSG00000132388	ENSP00000459847 	UBE2G1
ENSG00000185722	ENSP00000459943 	ANKFY1
ENSG00000262895	ENSP00000459945 	TRIM73
ENSG00000168411	ENSP00000460049 	RFWD3
ENSG00000141552	ENSP00000460064 	ANAPC11
ENSG00000161940	ENSP00000460071 	BCL6B
ENSG00000262895	ENSP00000460114 	TRIM73
ENSG00000108523	ENSP00000460190 	RNF167
ENSG00000177374	ENSP00000460268 	HIC1
ENSG00000161940	ENSP00000460282 	BCL6B
ENSG00000174231	ENSP00000460348 	PRPF8
ENSG00000129204	ENSP00000460380 	USP6
ENSG00000174943	ENSP00000460526 	KCTD13
ENSG00000141552	ENSP00000460678 	ANAPC11
ENSG00000154914	ENSP00000460862 	USP43
ENSG00000159202	ENSP00000461147 	UBE2Z
ENSG00000262909	ENSP00000461327 	SMURF2
ENSG00000154914	ENSP00000461467 	USP43
ENSG00000129204	ENSP00000461581 	USP6
ENSG00000141552	ENSP00000461648 	ANAPC11
ENSG00000141542	ENSP00000461785 	RAB40B
