ensg	ensp	name
ENSG00000160087	ENSP00000305826 	UBE2J2
ENSG00000171617	ENSP00000306356 	ENC1
ENSG00000168894	ENSP00000306906 	RNF181
ENSG00000171385	ENSP00000306923 	KCND3
ENSG00000171931	ENSP00000306937 	FBXW10
ENSG00000132256	ENSP00000307031 	TRIM5
ENSG00000170604	ENSP00000307265 	IRF2BP1
ENSG00000168795	ENSP00000307604 	ZBTB5
ENSG00000124134	ENSP00000307694 	KCNS1
ENSG00000175556	ENSP00000307732 	LONRF3
ENSG00000167196	ENSP00000307833 	FBXO22
ENSG00000174282	ENSP00000307858 	ZBTB4
