name	ensp	Cytoplasm	Golgi apparatus	Plasma membrane	Lysosome	Endosome	Nucleus	Cytoskeleton	Mitochondrion
PPP5C	ENSP00000012443	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
NME1	ENSP00000013034	5.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0
INMT	ENSP00000013222	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC1	ENSP00000013807	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
GPRC5A	ENSP00000014914	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
HEBP1	ENSP00000014930	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNASE1L1	ENSP00000014935	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COX15	ENSP00000016171	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
MS4A12	ENSP00000016913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RGPD5	ENSP00000016946	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XYLT2	ENSP00000017003	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
SCTR	ENSP00000019103	5.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0
RALBP1	ENSP00000019317	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PSD	ENSP00000020673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SYT13	ENSP00000020926	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNAI2	ENSP00000020945	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
CCT8L1	ENSP00000021776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC7A9	ENSP00000023064	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
GABRA1	ENSP00000023897	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
SLC45A4	ENSP00000024061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RB1CC1	ENSP00000025008	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
AKAP11	ENSP00000025301	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
PIGQ	ENSP00000026218	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDH17	ENSP00000027335	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
RNASET2	ENSP00000028008	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
B4GALT7	ENSP00000029410	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
BCLAF1	ENSP00000031135	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
SLC39A9	ENSP00000031146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM13B	ENSP00000033079	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHPF2	ENSP00000035307	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC7	ENSP00000035383	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABARAPL2	ENSP00000037243	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
MYOC	ENSP00000037502	4.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0
FAM136A	ENSP00000037869	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTC	ENSP00000039007	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
TTC17	ENSP00000039989	5.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0
HOXC8	ENSP00000040584	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0
MRI1	ENSP00000040663	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
BOD1L	ENSP00000040738	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
TARBP1	ENSP00000040877	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
FAM65A	ENSP00000042381	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEST2	ENSP00000042931	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
RTN4R	ENSP00000043402	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
PSMA4	ENSP00000044462	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
